"","Growth Form","Common Name","Other Common Names","Scientific Name","Ecoregion","Min Height","Max Height","Min Spread","Max Spread","Light","Water","Leaf Retention","Lifespan","Bloom Season","Bloom Color","Seasonal Interest","Soil","Wildlife Benefit","Native Habitat","Maintenence","Comments","References"
"","Tree","Loblolly Pine","Oldfield Pine, Bull Pine, Rosemary Pine","Pinus taeda","Western Gulf Coastal Plain","60","100","12","15","Sun, Part Shade","Medium","Evergreen","Perennial","Spring","Yellow, Brown","Seeds, Larval Host, Nesting Material","Sand, Loam, Acid, Well Drained","Butterflies, Birds, Small Mammals, Moths, Bees","Woodland","Lots of litter: needles, twigs, cones which make excellent mulch!","Fast growing tree can tolerate some flooding and drought. Tall straight trunks to 110' with attractive flat brown plates which form a checkerboard pattern.  4-8"" needles in bundles of 3.  Pine cones 3-5"".  Provides food and shelter to many birds and mammals. Native bees deposit young in holes in downed branches.  Larval host: Elfin Butterfly and Southern pine Sphinx Moth.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 319. 4) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=18037#null"
"","Herbaceous","Louisiana Spiderlily","Texas Spiderlily, Spring Spiderlily, Spiderlily, Western Marsh Spiderlily","Hymenocallis liriosme","Gulf Coast Prairies and Marshes, Western Gulf Coastal Plain","1","2","0.5","1","Part Shade","Medium, High","Deciduous","Perennial","Spring, Summer, Fall","White","Nectar","Sand, Loam, Clay, Moist","Butterflies, Birds, Bees","Grassland,Woodland,Wetland or Riparian","Low. Blooms best with a little sun.","Fragrant white blooms up to 7 inches across consist of a cup surrounded by strap . Leaves also strap-like and glossy. Multiply by bulb.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 192. 3) https://www.wildflower.org/plants/result.php?id_plant=HYLI. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Hymenocallis+liriosme&formsubmit=Search+Terms. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=800&locationType=County&mapType=No), 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=503111#null"
"","Herbaceous","Low Menodora","Redbud","Menodora heterophylla","Central Great Plains, Chihuahuan Deserts, Edwards Plateau, Southern Texas Plains, Southwestern Tablelands","0","1","0","1","Part Shade","Low","Deciduous","Perennial","Spring, Summer, Fall","Red, Yellow","Nectar","Sand, Loam, Clay, Gravelly, Limestone, Caliche","Nectar Insects","Grassland","None required","Low Menodora is a low growing plant that is quite showy when in bloom. The 3 outer petals are red on the outside enclosing the unopened flower which is yellow when opened.","1) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=32983#null. 2) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=15538&locationType=County&mapType=Normal. 3) https://www.wildflower.org/plants/result.php?id_plant=MEHE2. 4) Ajilvsgi, Geyata, Wildflowers of Texas, 1991, pg. 209."
"","Herbaceous","Lyre Leaf Sage","Cancer Weed","Salvia lyrata","East Central Texas Plains, Texas Blackland Prairies, Western Gulf Coastal Plain","","2","75","1","Sun, Part Shade, Shade","Low, Medium","Evergreen","Perennial","Spring","Blue, Purple","Nectar","Sand, Loam, Clay, Moist, Dry","Butterflies, Hummingbirds, Bees","Grassland,Woodland,Wetland or Riparian","This makes an excellent ground cover and readily reseeds.","Lyreleaf Sage is an upright hairy perennial with a rosette of basal leaves. The leaves are purple tinged in the winter. The flowers are pale-blue to violet.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) https://www.wildflower.org/plants/result.php?id_plant=SALY2. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Salvia+lyrata&formsubmit=Search+Terms 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=13647&locationType=County&mapType=Normal, 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=32690#null"
"","Wetland","Marsh Obedient Plant","Spring Obedient Plant, Slender False Dragonhead, Intermediate False Dragonhead","Physostegia intermedia","Texas Blackland Prairies, Western Gulf Coastal Plain","1","5","1","5","Sun, Part Shade","High","Deciduous","Perennial","Spring, Summer","White, Pink, Purple","Nectar, Flowers","Sand, Loam, Clay, Moist","Butterflies, Hummingbirds, Bees","Wetland or Riparian","Has potential to be aggressive.","Excellent plant when used at the edge of the water garden. Can be planted in gardens in part-shade with moist soil. Easy to grow. Good for wetland gardens and habitat. Can be used in shallow, standing water.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 204. 3) https://www.wildflower.org/plants/result.php?id_plant=PHIN8. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=13578&locationType=County&mapType=Normal. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=32389#null"
"","Herbaceous","Maximilian Sunflower","Max Sunflower","Helianthus maximiliani","Cross Timbers, East Central Texas Plains, Edwards Plateau, Texas Blackland Prairies","5","10","2","4","Sun","Low","Deciduous","Perennial","Fall","Yellow","Seeds, Forage, Nectar, Larval Host","Clay, Moist","Butterflies, Birds, Deer, Bees","Grassland","Great along a fence or as a tall backdrop to lower growing plants.","Showy yellow sunflowers. Desirable range plant that has a heavy crop of seeds, valuable for wildlife. Nectar:  Bordered Patch, Monarch. Larval Host: Bordered Patch.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 188. 3) https://www.wildflower.org/plants/result.php?id_plant=HEMA2. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Helianthus+maximiliani&formsubmit=Search+Terms. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=3289&locationType=County&mapType=Normal. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=36653#null"
"","Herbaceous","Mayapple","Indian Apple, Wild Mandrake, Pomme De Mai, Podophylle Pelt","Podophyllum peltatum","East Central Texas Plains, Western Gulf Coastal Plain","1","1.5","0.5","1","Sun, Part Shade","Medium","Deciduous","Perennial","Spring","White, Pink","Fruit","Sand, Loam, Acid, Rich, Moist","Birds","Woodland","Does not grow under pine trees. Do not mow.","Unripe fruit, leaves and roots are highly toxic.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 105. 3) https://www.wildflower.org/plants/result.php?id_plant=POPE. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Podophyllum+peltatum&formsubmit=Search+Terms. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=4905&locationType=County&mapType=Normal. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=18850#null"
"","Herbaceous","Meadow Pink","Texas Star, Rose Gentian, Prairie Rose-gentian, Prairie Sabatia","Sabatia campestris","Cross Timbers, East Central Texas Plains, Gulf Coast Prairies and Marshes, Southern Texas Plains, Texas Blackland Prairies, Western Gulf Coastal Plain","1","2","1","2","Sun, Part Shade","Medium","Deciduous","Annual","Spring, Summer","White, Pink","","Sand, Loam, Moist, Dry","","Grassland,Woodland","In early fall sow seed in raked area, don't cover","1-1.5"" flower with pink or rose petals and yellow central star. Leaves are opposite and clasp stem. Reseeds readily and can form large colonies. Guards against self pollination by covering stigmatic surface until its own pollen is gone, then opens for cross pollination.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 164.. 3) https://www.wildflower.org/plants/result.php?id_plant=SACA3. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Sabatia+campestris&formsubmit=Search+Terms. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=12309&locationType=County&mapType=Normal, 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=30010#null"
"","Herbaceous","Mealy Blue Sage","","Salvia farinacea","Chihuahuan Deserts, Cross Timbers, Edwards Plateau, Texas Blackland Prairies","2","3","2","2","Sun","Low","Evergreen","Perennial","Spring, Summer, Fall","Blue","Seeds, Nectar, Pollen","Sand, Loam, Clay, Limestone, Acid, Alkaline, Well Drained","Butterflies, Birds, Hummingbirds, Bees","Grassland,Woodland","Remove spent blooms for more flowering; cut back to 6"" in winter. Or let it go to seed for wildlife.","Best on thin limestone soils in full sun. Provides an attractive mass of color in beds, borders and naturalized areas. Native Habitat: Prairie, Plains, Meadows, Pastures, Savannas, Woodland edge or opening. Bumblebees are especially attracted this plant. Finches love the seeds.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 208. 4) https://www.wildflower.org/plants/result.php?id_plant=SAFA2. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=13625&locationType=County&mapType=Normal, 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=32713#null"
"","Tree","Mesquite","Honey Mesquite","Prosopis glandulosa","Central Great Plains, Chihuahuan Deserts, Cross Timbers, East Central Texas Plains, Edwards Plateau, Gulf Coast Prairies and Marshes, High Plains, Southern Texas Plains, Southwestern Tablelands, Texas Blackland Prairies","25","30","25","25","Sun","Very Low","Deciduous","Perennial","Spring, Summer","White","Fruit, Seeds, Nectar, Larval Host","Sand, Loam, Clay, Caliche, Well Drained","Butterflies, Birds, Small Mammals, Bees","Grassland"," Needs deep watering to become a tree but tolerates drought thereafter. Prune for shape or to raise canopy","Very slow growing. Has 2-3"" long blooms; aggressive spreader. Thorny, but a thornless variety 'Maverick' available. Native Habitat: deserts, plains; stream banks; arroyos. Larval Host: Great Purple Hairstreak, Long-tailed Skipper and Sphingicampa heiligbrodt. Excellent nectar source.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48, 53. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 337-338. 4) https://www.wildflower.org/plants/result.php?id_plant=PRGL2. 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Prosopis+glandulosa&formsubmit=Search+Terms. 6) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=11602&locationType=County&mapType=Normal., 7) Native and Adapted Landscape Plants, City of Austin and Texas A&M, 2014, 8) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=26879#null"
"","Tree","Mexican Ash","Berlandier Ash, Berlandier's Ash, Plumero","Fraxinus berlandieriana","East Central Texas Plains, Southern Texas Plains, Texas Blackland Prairies","30","45","20","30","Sun, Part Shade","Medium","Deciduous","Perennial","Spring","Purple","Seeds, Larval Host, Flowers","Sand, Loam, Clay, Rocky","Butterflies, Birds","Woodland,Wetland or Riparian","Prune for shape or to raise canopy","Leafs out early in the Spring and holds its leaves until late fall. It is a fast growing shade tree. For the Edwards Plateau, substitute with Texas Ash (Fraxinus albicans). Larval Host: Two-tailed tiger swallowtail, Tiger swallow-tail, Orange sulphur, Sleepy orange, Cloudless giant sulphur.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48.. 3) https://www.wildflower.org/plants/result.php?id_plant=FRBE. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=15511&locationType=County&mapType=Normal. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=502662#null"
"","Tree","Mexican Buckeye","Monilla","Ungnadia speciosa","Chihuahuan Deserts, Cross Timbers, Edwards Plateau, Texas Blackland Prairies","8","20","12","20","Sun, Part Shade","Low","Deciduous","Perennial","Spring","Pink","Seeds, Nectar, Larval Host","Sand, Loam, Clay, Rocky, Limestone, Caliche, Well Drained","Butterflies, Birds, Small Mammals, Hummingbirds, Bees","Woodland","Without pruning, forms multi-stemmed shrub","Multi-trunk; shrubby; does well as understory tree. Round, hard black seeds in dark reddish brown pods. Can use near overhead 
 utilities. Attractive to bees and warblers.  Replaces Invasives: Vitex, Chastetree, Texas Lilac. Larval Host: Henry's Elfin Butterfly.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 304. 4) https://www.wildflower.org/plants/result.php?id_plant=UNSP. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=22799&locationType=County&mapType=Normal, 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28710#null"
"","Grass & Sedge","Mexican Feathergrass","Mexican Wiregrass, Finestem Needlegrass, Ponytail Grass, Texas Tussock","Nassella tenuissima","Chihuahuan Deserts","1","3","1","3","Sun, Part Shade","Low","Deciduous","Perennial","Summer","White","","Loam, Clay, Acid, Alkaline, Calcareous, Well Drained","","Grassland,Woodland","Requires good drainage and can't take excessive moisture. Should not be watered heavily more than once a week. May rot under heavy mulch. ","Nassella tenuissima is popular in landscaping for its delicate, thread-like leaves.  Goes dormant during drought and in winter. Grows well in containers. In nature it grows on rocky slopes, frequently in oak or pine associations but also in open, exposed grasslands. Its native range extends from the southwestern United States into northern Mexico.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas 2) https://www.wildflower.org/plants/result.php?id_plant=NATE3. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=18615&locationType=County&mapType=Normal. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Nassella+tenuissima&formsubmit=Search+Terms, 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=507085#null"
"","Herbaceous","Mexican Hat","Red-spike Mexican Hat, Upright Prairie Coneflower, Prairie Coneflower, Long-headed Coneflower, Thimbleflower","Ratibida columnifera","Central Great Plains, Chihuahuan Deserts, Cross Timbers, East Central Texas Plains, Edwards Plateau, Gulf Coast Prairies and Marshes, High Plains, Southern Texas Plains, Southwestern Tablelands, Texas Blackland Prairies","1","3","1","1.5","Sun","Medium","Deciduous","Perennial","Summer, Fall","Yellow","Seeds, Nectar, Flowers","Sand, Loam, Caliche, Calcareous, Well Drained","Butterflies, Birds, Nectar Insects, Bees","Grassland","This drought tolerant native is easy and fast growing and not fussy about soils; however, it can be aggressive and may push out weaker species.","Showy yellow flowers with red to brown rays surround a brownish-purplish central disk.The foliage has a strong odor that repels deer.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 205. 3) https://www.wildflower.org/plants/result.php?id_plant=RACO3. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Ratibida+columnifera&formsubmit=Search+Terms. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=4172&locationType=County&mapType=Normal. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=38341#null"
"","Tree","Mexican Plum","Bigtree Plum, Inch Plum","Prunus mexicana","Chihuahuan Deserts, Edwards Plateau, Texas Blackland Prairies, Western Gulf Coastal Plain","15","35","15","20","Sun","Low","Deciduous","Perennial","Spring","White, Pink","Fruit, Nectar, Larval Host","Rocky, Well Drained","Butterflies, Birds, Moths, Bees","Woodland","Prune for shape or to raise canopy","Single-trunked, non-suckering; great understory tree; earliest spring bloomer - fragrant, showy, white flowers before leaves appear. Plums turn yellow to mauve to purple July through September. Can be messy so don’t plant near paved surfaces or in rain gardens. Larval Host: Cecropia Moths and Tiger Swallowtail. Nectar: Great Purple Hairstreak.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48, 53. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 298. 4) https://www.wildflower.org/plants/result.php?id_plant=PRME. 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Prunus+mexicana&formsubmit=Search+Terms. 6) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=21574&locationType=County&mapType=Normal. 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=24791#null"
